symbol,profile_kind,fp16_startup,fp16_slope,fp32_startup,fp32_slope,integer_startup,integer_slope,startup,slope,fill,decay,valid_repeat_max,serialize_every_call
kVcmpvGeProfile,linear,10.0,2.0,10.0,2.0,,,,,,,,
kVcmpvGtProfile,linear,3.0,1.0,3.0,1.0,,,,,,,,
kVcmpvLeProfile,linear,10.0,2.0,10.0,2.0,,,,,,,,
kVcmpvLtIntegerProfile,linear,5.016293,1.000911,5.016293,1.000911,,,,,,,,
kVcmpvLtFloatingProfile,linear,3.0,1.0,3.0,1.0,,,,,,,,
kVcmpvNeProfile,linear,10.0,2.0,10.0,2.0,,,,,,,,
kVcmpvsEqProfile,linear,3.0,1.0,3.0,1.0,,,,,,,,
kVcmpvsGeProfile,linear,12.0,1.0,12.0,1.0,,,,,,,,
kVcmpvsGtProfile,linear,12.0,1.0,12.0,1.0,,,,,,,,
kVcmpvsLeProfile,linear,12.0,1.0,12.0,1.0,,,,,,,,
kVcmpvsLtProfile,linear,12.0,1.0,12.0,1.0,,,,,,,,
kVcmpvsNeProfile,linear,12.0,1.0,12.0,1.0,,,,,,,,
kScatterVnchwconvB16Profile,linear,9.025814,24.001344,9.025814,24.001344,,,,,,,,
kScatterVnchwconvB32Profile,linear,9.025814,24.001344,9.025814,24.001344,,,,,,,,
kScatterVnchwconvB8ReuseProfile,linear,11.034115,46.000395,11.034115,46.000395,,,,,,,,
kScatterVnchwconvB8StridedProfile,linear,18.388306,40.003055,18.388306,40.003055,,,,,,,,
kVabsProfile,linear,4.0,1.0,4.0,1.0,,,,,,,,
kVaddProfile,integer_linear,5.934212,2.065788,5.933726,2.066274,4.985765,2.000853,,,,,,
kVaddsProfile,integer_linear,6.0,1.0,6.0,1.0,5.010874,1.000947,,,,,,
kVandProfile,linear,2.059771,1.999717,2.059771,1.999717,,,,,,,,
kVaxpyProfile,linear,18.0,2.0,18.0,2.0,,,,,,,,
kVbitsortProfile,linear,8.0,4.0,8.0,4.0,,,,,,,,
kVbrcbProfile,linear,1.0,1.0,1.0,1.0,,,,,,,,
kVcaddProfile,linear,23.0,7.0,20.0,7.0,,,,,,,,
kVcgaddProfile,linear,15.0,7.0,12.0,1.0,,,,,,,,
kVcgmaxProfile,linear,6.0,7.0,5.0,1.0,,,,,,,,
kVcgminProfile,linear,6.0,7.0,5.0,1.0,,,,,,,,
kVcmaxProfile,linear,9.0,7.0,8.0,7.0,,,,,,,,
kVcminProfile,linear,9.0,7.0,8.0,7.0,,,,,,,,
kVcopyProfile,linear,13.0,1.0,0.936906,1.063094,,,,,,,,
kVdivProfile,linear,13.0,8.0,13.0,4.0,,,,,,,,
kVectorDupProfile,linear,1.0,1.0,1.0,1.0,,,,,,,,
kVexpProfile,linear,12.011812,3.988188,12.0,2.0,,,,,,,,
